Energy;Tempo en  BPM;Danceability;Playlist_genre2;Valence;Track_artist;Track_popularity;Playlist_name;Track_name;Track_album_release_date;Mode;Key;Duration_minutes;Acousticness;Playlist_subgenre2
68%;155;56%;Pop;39%;Omar Courtz, De La Rose;89;Today's Top Hits;Q U E V A S H A C E R H O Y ?;20/09/24;0;6;4;10%;Mainstream
52%;120;67%;Pop;37%;One Direction;89;Global Top 50;Night Changes;17/11/14;1;8;4;86%;Global
52%;120;67%;Pop;37%;One Direction;89;Soft Pop Hits;Night Changes;17/11/14;1;8;4;86%;Soft
60%;159;56%;Pop;24%;Teddy Swims;89;Today's Top Hits;Lose Control;15/09/23;1;9;4;20%;Mainstream
60%;159;56%;Pop;24%;Teddy Swims;89;Global Top 50;Lose Control;15/09/23;1;9;4;20%;Global
64%;848;26%;Pop;19%;The Weeknd, JENNIE, Lily-Rose Depp;89;Global Top 50;One Of The Girls (with JENNIE, Lily Rose Depp);23/06/23;1;8;4;4%;Global
69%;120;72%;Pop;94%;Tito Double P;89;Global Top 50;EL LOKERON;22/08/24;0;7;2;57%;Global
56%;150;67%;Pop;84%;Addison Rae;88;Today's Top Hits;Diet Pepsi;09/08/24;1;10;3;50%;Mainstream
56%;134;85%;Pop;86%;Bruno Mars;88;Global Top 50;That's What I Like;17/11/16;1;1;3;1%;Global
76%;139;74%;Pop;96%;Chappell Roan;88;Today's Top Hits;HOT TO GO!;22/09/23;1;6;3;2%;Mainstream
47%;101;90%;Pop;21%;Kendrick Lamar;88;Today's Top Hits;Not Like Us;04/05/24;1;1;5;1%;Mainstream
86%;105;56%;Pop;40%;Linkin Park;88;Global Top 50;In the End;22/06/05;0;3;4;1%;Global
37%;174;45%;Pop;10%;Lord Huron;88;Global Top 50;The Night We Met;06/04/15;1;9;3;97%;Global
60%;123;64%;Pop;33%;Myles Smith;88;Today's Top Hits;Stargazing;10/05/24;0;1;3;25%;Mainstream
59%;107;67%;Pop;58%;Sabrina Carpenter;88;Today's Top Hits;Please Please Please;06/06/24;1;9;3;27%;Mainstream
78%;103;70%;Pop;71%;Sabrina Carpenter;88;Global Top 50;Espresso;23/08/24;1;0;3;13%;Global
76%;142;48%;Pop;12%;The Kid LAROI;88;Global Top 50;NIGHTS LIKE THIS;10/11/23;1;6;14;1%;Global
51%;109;75%;Pop;93%;Tito Double P, Peso Pluma;88;Global Top 50;DOS DÍAS;22/08/24;1;1;3;78%;Global
81%;800;51%;Pop;66%;Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne;88;Today's Top Hits;Sticky (feat. GloRilla, Sexyy Red & Lil Wayne);28/10/24;1;1;4;29%;Mainstream
81%;800;51%;Pop;66%;Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne;88;Global Top 50;Sticky (feat. GloRilla, Sexyy Red & Lil Wayne);28/10/24;1;1;4;29%;Global
28%;727;61%;Pop;39%;Bruno Mars;87;Soft Pop Hits;When I Was Your Man;07/12/12;1;0;4;93%;Soft
63%;150;34%;Pop;35%;Mariah Carey;87;Global Top 50;All I Want for Christmas Is You;28/10/94;1;7;4;16%;Global
65%;114;88%;Pop;79%;Ndotz;87;Today's Top Hits;Embrace It;23/08/24;1;1;2;48%;Mainstream
50%;117;66%;Pop;80%;Noah Kahan;87;Soft Pop Hits;Stick Season;14/10/22;1;9;3;80%;Soft
59%;107;68%;Pop;62%;Sabrina Carpenter;87;Global Top 50;Please Please Please;23/08/24;1;9;3;26%;Global
73%;130;63%;Pop;64%;Sabrina Carpenter;87;Global Top 50;Juno;23/08/24;1;5;4;5%;Global
72%;155;32%;Pop;50%;The Goo Goo Dolls;87;Global Top 50;Iris;20/06/05;0;11;5;0%;Global
72%;155;32%;Pop;50%;The Goo Goo Dolls;87;Soft Pop Hits;Iris;20/06/05;0;11;5;0%;Soft
59%;186;68%;Pop;49%;The Weeknd, Daft Punk;87;Throwback Party;Starboy;25/11/16;1;7;4;14%;Throwback
56%;960;39%;Pop;19%;Tyler, The Creator, Lola Young;87;Global Top 50;Like Him (feat. Lola Young);28/10/24;0;4;5;29%;Global
78%;119;73%;Pop;66%;Adam Port, Stryv, Keinemusik, Orso, Malachiii;86;Today's Top Hits;Move;07/06/24;0;8;3;6%;Mainstream
65%;115;65%;Pop;30%;Ariana Grande;86;Global Top 50;we can't be friends (wait for your love);08/03/24;1;5;4;6%;Global
30%;115;35%;Pop;12%;Billie Eilish, Khalid;86;Soft Pop Hits;lovely (with Khalid);19/04/18;0;4;3;93%;Soft
65%;959;83%;Pop;93%;Ed Sheeran;86;Soft Pop Hits;Shape of You;03/03/17;0;1;4;58%;Soft
45%;950;60%;Pop;17%;Ed Sheeran;86;Soft Pop Hits;Perfect;03/03/17;1;8;4;16%;Soft
65%;959;83%;Pop;93%;Ed Sheeran;86;Throwback Party;Shape of You;03/03/17;0;1;4;58%;Throwback
67%;112;91%;Pop;66%;Eminem;86;Throwback Party;Without Me;26/05/02;1;7;5;0%;Throwback
92%;100;56%;Pop;50%;Lady Gaga;86;Today's Top Hits;Disease;25/10/24;0;11;4;5%;Mainstream
84%;122;62%;Pop;75%;Morgan Wallen;86;Today's Top Hits;Love Somebody;18/10/24;0;5;3;1%;Mainstream
66%;121;60%;Pop;29%;One Direction;86;Soft Pop Hits;Story of My Life;25/11/13;1;3;4;23%;Soft
70%;138;74%;Pop;73%;Sabrina Carpenter;86;Soft Pop Hits;Nonsense;15/07/22;1;8;3;3%;Soft
71%;810;72%;Pop;60%;Shaboozey;86;Today's Top Hits;A Bar Song (Tipsy);12/04/24;1;9;3;6%;Mainstream
64%;103;62%;Pop;45%;The Chainsmokers, Coldplay;86;Soft Pop Hits;Something Just Like This;07/04/17;0;11;4;5%;Soft
54%;122;45%;Pop;13%;Tom Odell;86;Soft Pop Hits;Another Love;24/06/13;0;4;4;70%;Soft
47%;105;47%;Pop;22%;Benson Boone;85;Today's Top Hits;Beautiful Things;18/01/24;1;10;3;15%;Mainstream
84%;109;64%;Pop;42%;Bruno Mars;85;Global Top 50;Just the Way You Are;11/05/10;1;5;4;1%;Global
84%;109;64%;Pop;42%;Bruno Mars;85;Soft Pop Hits;Just the Way You Are;11/05/10;1;5;4;1%;Soft
67%;130;78%;Pop;62%;Charli xcx, Billie Eilish;85;Today's Top Hits;Guess featuring billie eilish;01/08/24;1;7;2;1%;Mainstream
63%;119;76%;Pop;32%;Don Toliver;85;Today's Top Hits;NEW DROP;14/06/24;0;4;4;19%;Mainstream
56%;850;36%;Pop;49%;James Arthur;85;Soft Pop Hits;Say You Won't Let Go;28/10/16;1;10;4;70%;Soft
71%;146;49%;Pop;32%;Jin;85;Today's Top Hits;Running Wild;15/11/24;1;8;3;0%;Mainstream
90%;167;74%;Pop;79%;KATSEYE;85;Today's Top Hits;Touch;26/07/24;0;5;2;55%;Mainstream
61%;810;68%;Pop;50%;Miguel;85;Soft Pop Hits;Sure Thing;26/11/10;0;11;3;3%;Soft
73%;101;48%;Pop;48%;Vance Joy;85;Global Top 50;Riptide;05/08/14;1;1;3;44%;Global
19%;175;37%;Pop;15%;Zach Bryan;85;Soft Pop Hits;Something in the Orange;22/04/22;0;4;4;56%;Soft
90%;844;57%;Pop;88%;a-ha;84;Throwback Party;Take on Me;01/06/85;0;6;4;2%;Throwback
55%;758;35%;Pop;8%;Adele;84;Soft Pop Hits;Skyfall;04/10/12;0;0;5;42%;Soft
44%;146;56%;Pop;21%;Coldplay;84;Soft Pop Hits;The Scientist;27/08/02;1;5;5;73%;Soft
38%;107;61%;Pop;20%;Ed Sheeran;84;Soft Pop Hits;Photograph;21/06/14;1;4;4;61%;Soft
64%;117;74%;Pop;96%;Hozier;84;Global Top 50;Too Sweet;19/08/24;1;10;4;4%;Global
82%;167;60%;Pop;29%;Imagine Dragons;84;Soft Pop Hits;Thunder;23/06/17;1;0;3;1%;Soft
71%;919;85%;Pop;69%;KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd;84;Today's Top Hits;57;08/11/24;0;1;5;22%;Mainstream
71%;194;74%;Pop;71%;Myke Towers, benny blanco;84;Today's Top Hits;DEGENERE 👑 (feat. benny blanco);17/10/24;0;6;2;5%;Mainstream
94%;129;67%;Pop;53%;Pitbull, AFROJACK, Ne-Yo, Nayer;84;Throwback Party;Give Me Everything (feat. Nayer);17/06/11;1;8;4;19%;Throwback
86%;127;64%;Pop;73%;Post Malone, Morgan Wallen;84;Today's Top Hits;I Had Some Help (Feat. Morgan Wallen);10/05/24;1;7;3;1%;Mainstream
71%;809;72%;Pop;60%;Shaboozey;84;Global Top 50;A Bar Song (Tipsy);31/05/24;1;9;3;7%;Global
