Energy;Tempo en  BPM;Danceability;Playlist_genre2;Valence;Track_artist;Track_popularity;Playlist_name;Track_name;Track_album_release_date;Mode;Key;Duration_minutes;Acousticness;Playlist_subgenre2
79%;120;75%;Pop;88%;Maroon 5;78;Soft Pop Hits;Sugar;02/09/14;1;1;4;6%;Soft
55%;928;91%;Pop;97%;Mary J. Blige;78;Throwback Party;Family Affair;28/08/01;0;8;4;13%;Throwback
53%;108;63%;Pop;42%;Meghan Trainor, John Legend;78;Soft Pop Hits;Like I'm Gonna Lose You (feat. John Legend);09/01/15;1;0;4;40%;Soft
42%;119;53%;Pop;35%;Miley Cyrus;78;Soft Pop Hits;Wrecking Ball;04/10/13;1;5;4;41%;Soft
40%;111;68%;Pop;20%;Niall Horan;78;Soft Pop Hits;This Town;20/10/17;1;9;4;71%;Soft
70%;114;85%;Pop;92%;Paul Russell;78;Soft Pop Hits;Lil Boo Thang;18/08/23;1;0;2;15%;Soft
63%;155;69%;Pop;47%;Rauw Alejandro, Romeo Santos;78;Global Top 50;Kh√©?;15/11/24;1;7;3;33%;Global
81%;124;71%;Pop;72%;Rihanna;78;Throwback Party;Disturbia;02/06/08;0;11;4;9%;Throwback
64%;990;78%;Pop;50%;Rihanna;78;Throwback Party;Pon de Replay;29/08/05;1;7;4;0%;Throwback
39%;961;42%;Pop;40%;Rio Romeo;78;Bedroom Pop;Nothing's New;23/09/22;1;11;4;86%;Bedroom
82%;123;64%;Pop;64%;Robin Schulz, Francesco Yates;78;Throwback Party;Sugar (feat. Francesco Yates);25/09/15;0;5;4;2%;Throwback
60%;125;95%;Pop;82%;Sean Paul;78;Throwback Party;Temperature;26/09/05;0;0;4;11%;Throwback
55%;101;55%;Pop;34%;Stephen Sanchez, Em Beihold;78;Soft Pop Hits;Until I Found You (with Em Beihold) - Em Beihold Version;22/04/22;1;10;3;78%;Soft
84%;129;61%;Pop;44%;Swedish House Mafia, John Martin;78;Throwback Party;Don't You Worry Child - Radio Edit;14/09/12;0;11;4;11%;Throwback
80%;160;65%;Pop;94%;Taylor Swift;78;Throwback Party;Shake It Off;01/01/14;1;7;4;6%;Throwback
76%;169;59%;Pop;48%;The Kid LAROI, Justin Bieber;78;Soft Pop Hits;STAY (with Justin Bieber);09/07/21;1;1;2;4%;Soft
63%;937;80%;Pop;86%;Ace of Base;77;Throwback Party;All That She Wants;24/12/93;1;11;4;1%;Throwback
37%;141;60%;Pop;13%;Adele;77;Soft Pop Hits;Easy On Me;14/10/21;1;5;4;58%;Soft
90%;100;67%;Pop;54%;American Authors;77;Soft Pop Hits;Best Day Of My Life;01/01/14;1;2;3;6%;Soft
89%;126;58%;Pop;46%;Avicii;77;Throwback Party;Levels - Radio Edit;28/10/11;0;1;3;5%;Throwback
77%;991;65%;Pop;68%;Beyoncie, JAY-Z;77;Throwback Party;Crazy In Love (feat. Jay-Z);24/06/03;0;2;4;0%;Throwback
93%;123;63%;Pop;47%;Calvin Harris, Rihanna;77;Throwback Party;This Is What You Came For;29/04/16;0;9;4;20%;Throwback
81%;116;79%;Pop;86%;Daft Punk, Pharrell Williams, Nile Rodgers;77;Throwback Party;Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers];19/04/13;0;6;4;4%;Throwback
86%;127;61%;Pop;44%;Flo Rida, Sia;77;Throwback Party;Wild Ones (feat. Sia);22/06/12;0;5;4;10%;Throwback
62%;117;74%;Pop;93%;Hozier;77;Today's Top Hits;Too Sweet;22/03/24;1;10;4;3%;Mainstream
72%;943;54%;Pop;90%;Joan Jett & the Blackhearts;77;Throwback Party;I Love Rock 'N Roll;18/11/81;1;4;3;33%;Throwback
74%;119;72%;Pop;64%;Marshmello, Jonas Brothers;77;Soft Pop Hits;Leave Before You Love Me (with Jonas Brothers);21/05/21;1;7;3;0%;Soft
65%;117;92%;Pop;85%;Michael Jackson;77;Throwback Party;Billie Jean;08/02/08;0;11;5;2%;Throwback
81%;126;72%;Pop;87%;Modjo;77;Throwback Party;Lady - Hear Me Tonight;23/06/05;1;6;5;1%;Throwback
86%;120;67%;Pop;65%;Pitbull, Chris Brown;77;Throwback Party;International Love (feat. Chris Brown);17/06/11;0;0;4;1%;Throwback
76%;135;67%;Pop;54%;Pitbull, Christina Aguilera;77;Throwback Party;Feel This Moment (feat. Christina Aguilera);04/07/05;1;7;4;4%;Throwback
78%;173;47%;Pop;26%;Sia;77;Soft Pop Hits;Unstoppable;21/10/16;1;9;4;11%;Soft
75%;137;75%;Pop;83%;ABBA;76;Throwback Party;Mamma Mia;28/05/05;1;2;4;30%;Throwback
65%;886;87%;Pop;67%;Blackstreet, Dr. Dre, Queen Pen;76;Throwback Party;No Diggity;09/09/96;0;1;5;30%;Throwback
92%;126;54%;Pop;51%;Calvin Harris, Alesso, Hurts;76;Throwback Party;Under Control (feat. Hurts);31/10/14;1;8;3;13%;Throwback
86%;939;74%;Pop;66%;Daddy Yankee, Snow;76;Throwback Party;Con Calma;24/01/19;0;8;3;11%;Throwback
76%;131;80%;Pop;96%;Earth, Wind & Fire, The Emotions;76;Throwback Party;Boogie Wonderland;06/06/79;0;2;5;8%;Throwback
89%;128;71%;Pop;68%;Flo Rida;76;Throwback Party;Good Feeling;22/06/12;0;1;4;6%;Throwback
87%;127;62%;Pop;47%;Flo Rida, David Guetta;76;Throwback Party;Club Can't Handle Me (feat. David Guetta);24/11/10;1;0;4;3%;Throwback
49%;163;69%;Pop;79%;HYBS;76;Bedroom Pop;Tip Toe;20/06/23;1;11;4;59%;Bedroom
83%;113;67%;Pop;70%;Justin Timberlake;76;Throwback Party;"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")";06/05/16;1;0;4;1%;Throwback
87%;109;60%;Pop;94%;Katrina & The Waves;76;Throwback Party;Walking On Sunshine;07/06/05;1;10;4;1%;Throwback
43%;848;67%;Pop;34%;Lorde;76;Soft Pop Hits;Royals;27/09/13;1;7;3;12%;Soft
92%;146;64%;Pop;85%;Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton;76;Throwback Party;Can't Hold Us (feat. Ray Dalton);09/10/12;1;2;4;3%;Throwback
81%;980;72%;Pop;27%;Major Lazer, Miò, DJ Snake;76;Throwback Party;Lean On (feat. M√ò & DJ Snake);27/11/15;0;7;3;0%;Throwback
79%;114;60%;Pop;24%;Mark Ronson, Miley Cyrus;76;Soft Pop Hits;Nothing Breaks Like a Heart (feat. Miley Cyrus);21/06/19;0;7;4;1%;Soft
67%;203;49%;Pop;49%;Morgan Wallen;76;Soft Pop Hits;Last Night;31/01/23;1;6;3;41%;Soft
72%;125;75%;Pop;75%;Nicki Minaj;76;Throwback Party;Starships;01/01/12;0;11;4;14%;Throwback
34%;102;52%;Pop;10%;Selena Gomez;76;Soft Pop Hits;Lose You To Love Me;10/01/20;1;4;3;55%;Soft
74%;117;73%;Pop;96%;The Human League;76;Throwback Party;Don't You Want Me;03/06/05;0;9;4;18%;Throwback
85%;126;72%;Pop;45%;The Wanted;76;Throwback Party;Glad You Came;01/01/11;0;7;3;3%;Throwback
66%;107;75%;Pop;44%;Zedd, Maren Morris, Grey;76;Soft Pop Hits;The Middle;23/01/18;1;7;3;17%;Soft
70%;129;69%;Pop;29%;Ariana Grande, Zedd;75;Throwback Party;Break Free;22/08/14;0;7;4;1%;Throwback
65%;125;87%;Pop;90%;Earth, Wind & Fire;75;Throwback Party;Let's Groove;14/11/81;0;11;6;12%;Throwback
86%;128;70%;Pop;64%;Gala, Molella, Phil Jay;75;Throwback Party;Freed From Desire - prod. Molella, Phil Jay;17/11/97;0;2;4;59%;Throwback
66%;122;57%;Pop;39%;Irene Cara;75;Throwback Party;Flashdance...What a Feeling - Radio Edit;02/11/83;0;7;4;1%;Throwback
75%;910;71%;Pop;20%;Iyaz;75;Throwback Party;Replay;18/08/09;1;9;3;17%;Throwback
66%;104;64%;Pop;23%;Leona Lewis;75;Soft Pop Hits;Bleeding Love;29/06/05;1;5;4;19%;Soft
81%;174;62%;Pop;89%;Lou Bega;75;Throwback Party;Mambo No. 5 (a Little Bit of...);19/07/99;0;5;4;10%;Throwback
70%;101;85%;Pop;72%;Nelly, City Spud;75;Throwback Party;Ride Wit Me;27/06/00;1;7;5;6%;Throwback
87%;126;56%;Pop;68%;Owl City, Carly Rae Jepsen;75;Throwback Party;Good Time;17/08/12;1;3;3;2%;Throwback
77%;127;74%;Pop;60%;Rihanna, Calvin Harris;75;Throwback Party;We Found Love;19/11/11;1;1;4;3%;Throwback
54%;116;76%;Pop;75%;Shawn Mendes, Camila Cabello;75;Soft Pop Hits;Se√±orita;21/06/19;0;9;3;4%;Soft
59%;119;79%;Pop;72%;Stromae;75;Throwback Party;Alors on danse - Radio Edit;01/01/10;0;1;3;10%;Throwback
79%;119;63%;Pop;42%;Taylor Swift;75;Soft Pop Hits;Love Story (Taylor‚Äôs Version);09/04/21;1;2;4;13%;Soft
84%;129;57%;Pop;80%;Van Halen;75;Throwback Party;Jump - 2015 Remaster;04/01/84;1;0;4;17%;Throwback
83%;949;56%;Pop;27%;Vanessa Carlton;75;Soft Pop Hits;A Thousand Miles;30/04/02;1;11;4;32%;Soft
93%;172;61%;Pop;88%;*NSYNC;74;Throwback Party;Bye Bye Bye;21/03/00;0;8;3;4%;Throwback
68%;107;68%;Pop;92%;ABBA;74;Throwback Party;Take A Chance On Me;30/05/05;1;11;4;16%;Throwback
95%;128;63%;Pop;31%;Alex Gaudino, Crystal Waters;74;Throwback Party;Destination Calabria - Radio Edit;19/02/07;1;2;4;0%;Throwback
71%;925;48%;Pop;14%;Alicia Keys;74;Soft Pop Hits;Girl on Fire;18/11/12;1;9;4;14%;Soft
50%;103;69%;Pop;80%;Amy Winehouse;74;Soft Pop Hits;You Know I'm No Good;28/06/05;1;9;4;1%;Soft
88%;129;81%;Pop;96%;Aqua;74;Throwback Party;Barbie Girl;01/01/97;0;1;3;2%;Throwback
85%;108;73%;Pop;61%;Backstreet Boys;74;Throwback Party;Everybody (Backstreet's Back) - Radio Edit;12/08/97;0;10;4;4%;Throwback
90%;749;52%;Pop;65%;BANNERS;74;Soft Pop Hits;Someone To You;04/10/19;1;2;4;1%;Soft
54%;103;71%;Pop;64%;Bee Gees;74;Throwback Party;Stayin' Alive;13/12/77;0;10;15;11%;Throwback
70%;122;61%;Pop;48%;Daft Punk;74;Throwback Party;One More Time;12/03/01;1;2;5;2%;Throwback
59%;126;55%;Pop;44%;Dean Lewis;74;Soft Pop Hits;Be Alright;29/06/18;1;11;3;70%;Soft
77%;128;77%;Pop;92%;Depeche Mode;74;Throwback Party;Just Can't Get Enough;02/11/81;1;0;4;40%;Throwback
84%;117;53%;Pop;19%;Europe;74;Throwback Party;The Final Countdown;08/06/05;0;6;5;6%;Throwback
50%;129;86%;Pop;72%;Gotye, Kimbra;74;Soft Pop Hits;Somebody That I Used To Know;01/01/11;1;0;4;59%;Soft
44%;150;70%;Pop;71%;Jason Mraz;74;Soft Pop Hits;I'm Yours;12/05/08;1;11;4;56%;Soft
68%;159;52%;Pop;57%;Katy Perry;74;Soft Pop Hits;Wide Awake;12/03/12;1;5;4;7%;Soft
84%;132;71%;Pop;86%;Katy Perry;74;Throwback Party;Hot N Cold;17/06/08;1;7;4;0%;Throwback
84%;111;63%;Pop;26%;Madonna;74;Throwback Party;Like a Prayer;18/09/09;1;5;6;26%;Throwback
74%;107;96%;Pop;91%;Nelly;74;Throwback Party;Hot In Herre;25/06/02;0;11;4;20%;Throwback
83%;107;79%;Pop;87%;Shakira;74;Throwback Party;Whenever, Wherever;13/11/01;0;1;3;24%;Throwback
72%;112;56%;Pop;37%;The Calling;74;Soft Pop Hits;Wherever You Will Go;23/06/05;1;2;3;4%;Soft
71%;110;98%;Pop;82%;Timbaland, Justin Timberlake, Nelly Furtado;74;Throwback Party;Give It To Me;02/04/07;1;8;4;17%;Throwback
59%;102;75%;Pop;58%;Clairo;73;Bedroom Pop;4EVER;27/04/18;0;9;3;5%;Bedroom
33%;720;46%;Pop;27%;Duncan Laurence;73;Soft Pop Hits;Arcade;07/03/19;0;9;3;82%;Soft
84%;126;60%;Pop;45%;Eric Prydz;73;Throwback Party;Call on Me - Radio Mix;10/09/04;1;10;3;0%;Throwback
50%;104;74%;Pop;97%;Frankie Valli & The Four Seasons;73;Throwback Party;December, 1963 (Oh What a Night!);28/05/05;1;1;3;6%;Throwback
38%;155;54%;Pop;34%;girl in red;73;Bedroom Pop;i wanna be your girlfriend;02/03/18;1;7;3;2%;Bedroom
86%;128;50%;Pop;47%;Guru Josh Project, Klaas;73;Throwback Party;Infinity 2008 - Klaas Vocal Edit;07/05/08;0;7;3;0%;Throwback
80%;120;72%;Pop;59%;Katy Perry;73;Soft Pop Hits;Teenage Dream;01/01/10;1;10;4;2%;Soft
70%;122;81%;Pop;73%;Madcon, Ray Dalton;73;Throwback Party;Don't Worry (with Ray Dalton) - Radio Edit;10/04/15;1;7;4;7%;Throwback
93%;113;75%;Pop;77%;Madonna, Justin Timberlake, Timbaland;73;Throwback Party;4 Minutes (feat. Justin Timberlake & Timbaland);18/09/09;1;2;3;1%;Throwback
83%;954;72%;Pop;61%;Mark Morrison;73;Throwback Party;Return of the Mack;22/04/96;1;2;4;1%;Throwback
82%;118;88%;Pop;95%;Michael Jackson;73;Throwback Party;Don't Stop 'Til You Get Enough;10/08/79;1;11;6;13%;Throwback
86%;119;56%;Pop;43%;Olly Alexander (Years & Years);73;Throwback Party;King;10/07/15;0;4;4;6%;Throwback
27%;111;90%;Pop;74%;Prince;73;Throwback Party;Kiss;31/03/86;1;7;4;1%;Throwback
71%;175;56%;Pop;33%;Rachel Platten;73;Soft Pop Hits;Fight Song;01/01/16;1;7;3;5%;Soft
95%;178;43%;Pop;93%;Ricky Martin;73;Throwback Party;Livin' la Vida Loca;21/06/05;0;1;4;0%;Throwback
60%;119;85%;Pop;84%;Robin Thicke, T.I., Pharrell Williams;73;Throwback Party;Blurred Lines;01/01/13;1;7;4;0%;Throwback
9%;129;70%;Pop;35%;sign crushes motorist;73;Bedroom Pop;Better;05/08/22;1;7;16;99%;Bedroom
71%;115;78%;Pop;97%;The Emotions;73;Throwback Party;Best of My Love;10/06/77;1;0;4;45%;Throwback
99%;127;80%;Pop;72%;Bingo Players, Far East Movement;72;Throwback Party;Get Up (Rattle) [feat. Far East Movement] - Vocal Edit;08/12/12;1;7;3;2%;Throwback
95%;122;40%;Pop;58%;Bruce Springsteen;72;Throwback Party;Born in the U.S.A.;04/06/84;1;4;5;0%;Throwback
88%;129;67%;Pop;55%;David Guetta, Flo Rida, Nicki Minaj;72;Throwback Party;Where Them Girls At (feat. Nicki Minaj & Flo Rida);07/12/12;1;3;3;6%;Throwback
45%;508;29%;Pop;28%;Forest Blakk;72;Soft Pop Hits;If You Love Her;30/09/20;1;6;4;36%;Soft
71%;899;50%;Pop;42%;Imagine Dragons;72;Soft Pop Hits;Demons;04/09/12;1;3;3;19%;Soft
47%;758;46%;Pop;60%;JP Saxe, Julia Michaels;72;Soft Pop Hits;If the World Was Ending (feat. Julia Michaels);17/10/19;1;1;3;87%;Soft
42%;114;73%;Pop;46%;Julia Michaels;72;Soft Pop Hits;Issues;28/07/17;1;8;3;40%;Soft
76%;129;70%;Pop;70%;Katy Perry;72;Throwback Party;I Kissed A Girl;17/06/08;1;5;3;0%;Throwback
81%;126;57%;Pop;11%;Lana Del Rey, Cedric Gervais;72;Throwback Party;Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix;01/02/13;0;1;4;2%;Throwback
63%;147;49%;Pop;8%;Lauren Daigle;72;Soft Pop Hits;You Say;07/09/18;1;5;5;68%;Soft
74%;130;75%;Pop;36%;LMFAO, Lauren Bennett, GoonRock;72;Throwback Party;Party Rock Anthem;01/01/11;0;5;4;2%;Throwback
84%;100;83%;Pop;97%;Mr. President;72;Throwback Party;Coco Jamboo;17/05/96;0;1;4;8%;Throwback
87%;131;70%;Pop;81%;Patrick Hernandez;72;Throwback Party;Born to Be Alive - The Original;31/05/05;1;2;3;8%;Throwback
59%;113;49%;Pop;19%;Pink;72;Soft Pop Hits;What About Us;13/10/17;1;1;4;3%;Soft
94%;132;73%;Pop;75%;PSY;72;Throwback Party;Gangnam Style (Í∞ïÎÇ®Ïä§ÌÉÄÏùº);01/01/12;0;11;4;0%;Throwback
66%;124;73%;Pop;36%;Stardust, Benjamin Diamond, Alan Braxe, Thomas Bangalter;72;Throwback Party;Music Sounds Better With You - Radio Edit;20/07/98;0;5;4;0%;Throwback
78%;119;75%;Pop;81%;Taio Cruz;72;Throwback Party;Dynamite;01/01/10;1;4;3;0%;Throwback
60%;107;73%;Pop;94%;Wham!;72;Global Top 50;Last Christmas - Single Version;07/07/23;1;2;4;21%;Global
53%;108;88%;Pop;89%;Will Smith;72;Throwback Party;Miami;03/10/97;1;1;3;3%;Throwback
79%;969;81%;Pop;90%;Ace of Base;71;Throwback Party;The Sign;24/12/93;0;4;3;1%;Throwback
55%;900;64%;Pop;17%;Alicia Keys;71;Soft Pop Hits;No One;09/11/07;0;1;4;2%;Soft
72%;799;51%;Pop;47%;Beyoncie;71;Soft Pop Hits;Halo;17/11/08;0;11;4;27%;Soft
91%;140;52%;Pop;96%;Billy Ocean;71;Throwback Party;Love Really Hurts Without You;05/01/76;1;5;3;0%;Throwback
35%;870;67%;Pop;45%;Crumb;71;Bedroom Pop;Ghostride;14/06/19;1;2;2;52%;Bedroom
29%;711;59%;Pop;30%;Faye Webster;71;Bedroom Pop;In A Good Way;25/06/21;1;9;4;19%;Bedroom
64%;184;38%;Pop;74%;fun., Janelle Moni°e;71;Soft Pop Hits;We Are Young (feat. Janelle Mon√°e);21/02/12;1;10;4;2%;Soft
42%;949;49%;Pop;30%;Gigi Perez;71;Today's Top Hits;Sailor Song;26/07/24;1;11;4;69%;Mainstream
71%;146;49%;Pop;32%;Jin;71;Global Top 50;Running Wild;19/11/24;1;8;3;0%;Global
83%;123;59%;Pop;49%;Lady Gaga;71;Throwback Party;Born This Way;23/05/11;1;11;4;0%;Throwback
52%;133;87%;Pop;86%;MC Hammer;71;Throwback Party;U Can't Touch This;20/02/90;0;11;4;0%;Throwback
71%;122;66%;Pop;47%;OneRepublic;71;Soft Pop Hits;Counting Stars;01/01/14;0;1;4;7%;Soft
86%;124;73%;Pop;52%;R3HAB, A Touch Of Class;71;Throwback Party;All Around The World (La La La);05/04/19;0;9;2;48%;Throwback
94%;131;73%;Pop;60%;Rednex;71;Throwback Party;Cotton Eye Joe;12/08/94;1;9;3;1%;Throwback
63%;120;88%;Pop;55%;The Pussycat Dolls, Busta Rhymes;71;Throwback Party;Don't Cha;01/01/05;1;1;5;1%;Throwback
75%;125;50%;Pop;36%;Alesso, Tove Lo;70;Throwback Party;Heroes (we could be);22/05/15;1;5;4;3%;Throwback
73%;123;49%;Pop;34%;Amy Winehouse;70;Soft Pop Hits;Back To Black;27/10/06;1;10;4;12%;Soft
32%;118;40%;Pop;17%;Andra Day;70;Soft Pop Hits;Rise Up;28/08/15;1;1;4;81%;Soft
57%;107;68%;Pop;72%;Baltimora;70;Throwback Party;Tarzan Boy;01/01/85;1;5;6;32%;Throwback
76%;101;72%;Pop;74%;Clean Bandit, Sean Paul, Anne-Marie;70;Throwback Party;Rockabye (feat. Sean Paul & Anne-Marie);21/10/16;0;9;4;41%;Throwback
81%;127;69%;Pop;80%;Corona;70;Throwback Party;The Rhythm of the Night;16/06/05;0;5;4;0%;Throwback
63%;899;65%;Pop;43%;Dan + Shay, Justin Bieber;70;Soft Pop Hits;10,000 Hours (with Justin Bieber);04/10/19;1;10;3;15%;Soft
69%;167;84%;Pop;70%;GloRilla, Sexyy Red;70;Today's Top Hits;WHATCHU KNO ABOUT ME (with Sexyy Red);10/10/24;1;1;2;1%;Mainstream
92%;130;67%;Pop;76%;Katy Perry;70;Soft Pop Hits;Part Of Me;01/01/12;1;5;4;0%;Soft
79%;116;98%;Pop;58%;Vanilla Ice;70;Throwback Party;Ice Ice Baby;04/11/08;1;2;4;0%;Throwback
73%;146;58%;Pop;28%;Zara Larsson, MNEK;70;Throwback Party;Never Forget You;17/03/17;0;11;4;0%;Throwback
89%;126;65%;Pop;42%;Alan Walker, Ina Wroldsen;69;Scandi Pop;Barcelona;13/06/24;1;6;3;26%;Scandi
35%;745;35%;Pop;9%;Christina Perri;69;Soft Pop Hits;jar of hearts;10/05/11;1;3;4;73%;Soft
79%;117;40%;Pop;57%;Sia;69;Soft Pop Hits;Chandelier;04/05/15;1;1;4;2%;Soft
47%;113;60%;Pop;7%;Zoe Wees;69;Soft Pop Hits;Control;13/03/20;1;4;4;64%;Soft
71%;138;82%;Punk;77%;Gorillaz;84;Pop Punk Powerhouses;Feel Good Inc.;23/05/05;1;6;4;1%;Pop Punk
94%;946;33%;Punk;30%;Evanescence;83;Pop Punk Powerhouses;Bring Me To Life;04/03/03;0;4;4;1%;Pop Punk
78%;779;59%;Punk;43%;Avril Lavigne;81;Pop Punk Powerhouses;Complicated;04/06/02;1;5;4;6%;Pop Punk
90%;148;43%;Punk;69%;blink-182;81;Pop Punk Powerhouses;All The Small Things;01/06/99;1;0;3;1%;Pop Punk
85%;162;64%;Punk;90%;Jimmy Eat World;80;Pop Punk Powerhouses;The Middle;17/07/01;1;2;3;4%;Pop Punk
99%;186;38%;Punk;77%;Green Day;79;Pop Punk Powerhouses;American Idiot;21/09/04;1;1;3;0%;Pop Punk
86%;111;46%;Punk;86%;My Chemical Romance;79;Pop Punk Powerhouses;Teenagers;23/10/06;1;4;3;5%;Pop Punk
92%;136;60%;Punk;77%;Paramore;78;Pop Punk Powerhouses;Still into You;05/04/13;1;5;4;1%;Pop Punk
90%;149;49%;Punk;48%;Avril Lavigne;77;Pop Punk Powerhouses;Sk8er Boi;04/06/02;1;0;3;0%;Pop Punk
95%;157;39%;Punk;47%;blink-182;77;Pop Punk Powerhouses;What's My Age Again?;01/06/99;1;6;2;1%;Pop Punk
89%;154;46%;Punk;59%;Fall Out Boy;77;Pop Punk Powerhouses;Thnks fr th Mmrs;01/01/07;0;10;3;1%;Pop Punk
81%;104;55%;Punk;15%;Green Day;77;Pop Punk Powerhouses;Wake Me up When September Ends;21/09/04;1;7;5;2%;Pop Punk
84%;162;49%;Punk;57%;Fall Out Boy;76;Pop Punk Powerhouses;Sugar, We're Goin Down;03/05/05;1;7;4;1%;Pop Punk
96%;125;36%;Punk;9%;My Chemical Romance;76;Pop Punk Powerhouses;Helena;08/06/04;1;4;3;1%;Pop Punk
78%;110;66%;Punk;58%;blink-182;75;Pop Punk Powerhouses;I Miss You;01/01/03;1;11;4;0%;Pop Punk
96%;114;62%;Punk;45%;Fall Out Boy;75;Pop Punk Powerhouses;Dance, Dance;03/05/05;0;11;3;1%;Pop Punk
94%;177;49%;Punk;89%;Good Charlotte;75;Pop Punk Powerhouses;The Anthem;04/10/02;1;1;3;1%;Pop Punk
97%;112;40%;Punk;43%;Pierce The Veil, Kellin Quinn;75;Pop Punk Powerhouses;King For A Day;17/07/12;1;6;4;0%;Pop Punk
93%;929;55%;Punk;46%;The Red Jumpsuit Apparatus;75;Pop Punk Powerhouses;Face Down;01/01/06;0;7;3;0%;Pop Punk
93%;955;58%;Punk;88%;blink-182;74;Pop Punk Powerhouses;First Date;23/06/05;1;0;3;0%;Pop Punk
95%;103;49%;Punk;74%;Lit;74;Pop Punk Powerhouses;My Own Worst Enemy;22/02/99;1;4;3;0%;Pop Punk
94%;179;21%;Punk;26%;My Chemical Romance;74;Pop Punk Powerhouses;I'm Not Okay (I Promise);08/06/04;1;9;3;1%;Pop Punk
80%;169;29%;Punk;33%;My Chemical Romance;74;Pop Punk Powerhouses;I Don't Love You;23/10/06;1;0;4;1%;Pop Punk
56%;137;45%;Punk;21%;Paramore;74;Pop Punk Powerhouses;The Only Exception;28/09/09;1;4;4;14%;Pop Punk
41%;151;46%;Punk;21%;Avril Lavigne;73;Pop Punk Powerhouses;I'm with You;04/06/02;1;9;4;8%;Pop Punk
91%;172;52%;Punk;73%;Paramore;73;Pop Punk Powerhouses;Misery Business;11/06/07;1;1;4;0%;Pop Punk
82%;119;70%;Punk;92%;Paramore;73;Pop Punk Powerhouses;Hard Times;12/05/17;0;5;3;1%;Pop Punk
91%;196;40%;Punk;63%;Sum 41;73;Pop Punk Powerhouses;Fat Lip;01/01/01;1;9;3;0%;Pop Punk
75%;118;77%;Punk;93%;Fountains Of Wayne;72;Pop Punk Powerhouses;Stacy's Mom;01/01/03;0;11;3;0%;Pop Punk
88%;122;47%;Punk;31%;My Chemical Romance;72;Pop Punk Powerhouses;Famous Last Words;23/10/06;0;2;5;0%;Pop Punk
83%;170;57%;Punk;61%;Panic! At The Disco;72;Pop Punk Powerhouses;I Write Sins Not Tragedies;27/09/05;0;9;3;8%;Pop Punk
93%;149;58%;Punk;88%;Avril Lavigne;71;Pop Punk Powerhouses;What the Hell;08/03/11;0;6;4;0%;Pop Punk
78%;136;52%;Punk;38%;blink-182;71;Pop Punk Powerhouses;Adam's Song;01/06/99;1;0;4;3%;Pop Punk
89%;104;61%;Punk;67%;Paramore;71;Pop Punk Powerhouses;Ain't It Fun;05/04/13;1;9;5;15%;Pop Punk
87%;164;28%;Punk;28%;Paramore;71;Pop Punk Powerhouses;Decode;04/11/08;0;10;4;0%;Pop Punk
90%;173;49%;Punk;79%;Yellowcard;71;Pop Punk Powerhouses;Ocean Avenue;01/01/03;0;6;3;0%;Pop Punk
94%;170;41%;Punk;74%;Avril Lavigne;70;Pop Punk Powerhouses;My Happy Ending;26/06/05;1;2;4;0%;Pop Punk
68%;167;50%;Punk;47%;Green Day;70;Pop Punk Powerhouses;Boulevard of Broken Dreams;17/11/17;1;8;4;1%;Pop Punk
89%;145;20%;Punk;19%;My Chemical Romance;70;Pop Punk Powerhouses;The Ghost of You;08/06/04;0;11;3;3%;Pop Punk
95%;143;47%;Punk;46%;The All-American Rejects;70;Pop Punk Powerhouses;Dirty Little Secret;01/01/05;1;10;3;0%;Pop Punk
96%;193;41%;Punk;83%;blink-182;69;Pop Punk Powerhouses;The Rock Show;23/06/05;1;9;3;0%;Pop Punk
89%;119;61%;Punk;90%;Bowling For Soup;69;Pop Punk Powerhouses;1985;26/06/05;1;4;3;0%;Pop Punk
88%;934;45%;Punk;33%;Evanescence;69;Pop Punk Powerhouses;Call Me When You're Sober;01/01/06;1;7;4;0%;Pop Punk
83%;167;29%;Punk;45%;Green Day;69;Pop Punk Powerhouses;Holiday / Boulevard of Broken Dreams;21/09/04;1;8;8;0%;Pop Punk
69%;100;72%;Punk;55%;The All-American Rejects;69;Pop Punk Powerhouses;Gives You Hell;01/01/08;1;4;4;2%;Pop Punk
87%;143;31%;Punk;69%;AFI;68;Pop Punk Powerhouses;Miss Murder;06/06/06;1;8;3;0%;Pop Punk
74%;119;63%;Punk;28%;mgk, YUNGBLUD, Travis Barker;68;Pop Punk Powerhouses;I Think I'm OKAY (with YUNGBLUD & Travis Barker);05/07/19;1;7;3;3%;Pop Punk
99%;165;41%;Punk;65%;My Chemical Romance;68;Pop Punk Powerhouses;Na Na Na (Na Na Na Na Na Na Na Na Na);05/11/10;0;8;3;0%;Pop Punk
93%;159;47%;Punk;34%;Pierce The Veil;68;Pop Punk Powerhouses;Bulls In The Bronx;17/07/12;0;6;4;0%;Pop Punk
82%;879;69%;Punk;74%;Weezer;68;Pop Punk Powerhouses;Beverly Hills;10/05/05;1;5;3;9%;Pop Punk
55%;159;55%;R&B;55%;Frank Ocean;87;R&B Hits;Pink + White;20/08/16;1;9;3;67%;Modern
55%;143;56%;R&B;39%;SZA;86;R&B Hits;Snooze;09/12/22;1;5;3;14%;Modern
